Wavelength	blue	green	red	NIR	pan
615	0	0.012388768261563	0.0742206635114498	0	0.848650093346574
616	0	0.00999433421052629	0.107147527022899	0	0.8504662591857
617	0	0.00760225669856464	0.144771129770991	0	0.852169337636544
618	0	0.00520782244019147	0.188445984732825	0	0.853816457795432
619	0	0	0.243206737404578	0	0.855397887785502
620	0	0	0.304835535877863	0	0.856929491559086
621	0	0	0.367624371951221	0	0.858399203574975
622	0	0	0.430123207633588	0	0.859844677259186
623	0	0	0.49044099541985	0	0.861258282025819
624	0	0	0.547465268292683	0	0.862704471698113
625	0	0	0.602623129770988	0	0.864196030784508
626	0	0	0.657493411585365	0	0.865791699106256
627	0	0	0.712139606106869	0	0.867540954319762
628	0	0	0.764573048780486	0	0.86942614796425
629	0	0	0.804209305343512	0	0.8715239632572
630	0	0	0.827903946646341	0	0.873720539225422
631	0	0	0.84198212519084	0	0.876081015888779
632	0	0	0.852080018320611	0	0.878500987090367
633	0	0	0.857543731707317	0	0.881025813306852
634	0	0	0.861288654961832	0	0.883630814299901
635	0	0	0.864681039694656	0	0.886386027805362
636	0	0	0.867327161832061	0	0.889234608738828
637	0	0	0.868759320610687	0	0.892269365441906
638	0	0	0.869619836641221	0	0.895312384309831
639	0	0	0.870865320610687	0	0.898372960278053
640	0	0	0.873470707317073	0	0.901328439205955
641	0	0	0.877135458015267	0	0.904045560794045
642	0	0	0.881087648854962	0	0.906646183714002
643	0	0	0.885156391768293	0	0.908962966236345
644	0	0	0.89019525648855	0	0.911223908639523
645	0	0	0.896766440548781	0	0.913339102284012
646	0	0	0.904414885496183	0	0.915437972691162
647	0	0	0.912195801829269	0	0.917491100794439
648	0	0	0.919930386259542	0	0.919521974677259
649	0	0	0.927301042682926	0	0.921485728401192
650	0	0	0.933600424427481	0	0.923407709533267
651	0	0	0.939173167938931	0	0.92519370754717
652	0	0	0.944537112804878	0	0.926936361469712
653	0	0	0.949793488549618	0	0.928526232373386
654	0	0	0.954395099236641	0	0.930091435948362
655	0	0	0.95786413129771	0	0.93156214101291
656	0	0	0.960667346564885	0	0.933025850546177
657	0	0	0.963370030534351	0	0.934460309334657
658	0	0	0.966070693129771	0	0.935893968222443
659	0	0	0.968592013719512	0	0.937323958291956
660	0	0	0.970140610687023	0	0.938753456802383
661	0	0	0.969738929770992	0	0.940180467725919
662	0	0	0.968308539634146	0	0.941603729890765
663	0	0	0.966690735877862	0	0.943005914597815
664	0	0	0.965071347560976	0	0.944397147467726
665	0	0	0.963628984732824	0	0.945719391757696
666	0	0	0.963113263719512	0	0.947025329692155
667	0	0	0.964640251908397	0	0.948215001986097
668	0	0	0.96714106097561	0	0.9493915191067
669	0	0	0.969839	0	0.950460501736973
670	0	0	0.972543697709924	0	0.951524120158888
671	0	0	0.975365207317073	0	0.9525360367428
672	0	0	0.978938236641221	0	0.953546960278054
673	0	0	0.983968352671755	0	0.954546463753724
674	0	0	0.989772716030535	0	0.955547966236346
675	0	0	0.995286841221374	0	0.956577757696127
676	0	0	0.998817374045802	0	0.957615449851043
677	0	0	0.999908595419847	0	0.95879717775571
678	0	0	0.999918841463415	0	0.959991962264151
679	0	0	0.998571447328245	0	0.961517285004965
680	0	0	0.991719179878049	0	0.963052534260179
681	0	0	0.979132297709924	0	0.964991461767627
682	0	0	0.964239291603053	0	0.966933140019861
683	0	0	0.949193876524391	0	0.969147142005958
684	0	0	0.934133335877863	0	0.971361143992056
685	0	0	0.919072231707318	0	0.973668613704072
686	0	0	0.903927189312977	0	0.975976458788481
687	0	0	0.888131963414633	0	0.978296005958292
688	0	0	0.870807297709924	0	0.980615767626614
689	0	0	0.852581557251908	0	0.982926397219464
690	0	0	0.834161019817075	0	0.985236724925521
691	0	0	0.815732396946566	0	0.987492105263158
692	0	0	0.79729658167939	0	0.989744836146971
693	0	0	0.778879603053435	0	0.991843078450844
694	0	0	0.760434703816794	0	0.993931459781529
695	0	0	0.741516830534353	0	0.995689717974181
696	0	0	0.720023836641222	0	0.997421594836147
697	0	0	0.694120980182927	0	0.998540312655087
698	0	0	0.665775477862594	0	0.999599866004963
699	0	0	0.63442570121951	0	0.999838606256207
700	0	0	0.597273206106872	0	0.999983094836147
701	0	0	0.555028091603054	0	0.99944319265144
702	0	0	0.511797777439027	0	0.998812606752731
703	0	0	0.468470803053439	0	0.997842446375372
704	0	0	0.425134899390248	0	0.996821095829196
705	0	0	0.381693732824427	0	0.995650735849057
706	0	0	0.337848887195122	0	0.994455105263158
707	0	0	0.293660195419849	0	0.993117916087388
708	0	0	0.249386349618321	0	0.991753963753724
709	0	0	0.206203173780487	0	0.99025902184707
710	0	0	0.167499535877863	0	0.988736678252234
711	0	0	0.135693514503816	0	0.987148535749752
712	0	0	0.110147735114504	0	0.985545258689176
713	0	0	0.0921755854961828	0	0.983959040714995
714	0	0	0.078586244122138	0	0.982377114200596
715	0	0	0.0662202600000011	0	0.980969025819265
716	0	0	0.0557831615853662	0	0.979608549155909
717	0	0	0.047615302442748	0	0.978653861966236
718	0	0	0.0404703963414633	0	0.977819701092353
719	0	0	0.034079228091603	0	0.977487701092354
720	0	0	0.0297568922137407	0	0.977316896722939
721	0	0	0.0269718288109756	0	0.977491768123138
722	0	0	0.0246343563358778	0	0.977786207050645
723	0	0	0.022312188414634	0	0.978235929493545
724	0	0	0.0199924053435115	0	0.978743377358491
725	0	0	0.017683412195122	0	0.979370110228401
726	0	0	0.0155749192366414	0	0.980044390268123
727	0	0	0.0139576891603054	0	0.980866637220844
728	0	0	0.012830612652439	0	0.981751997022333
729	0	0	0.0118138931297709	0	0.98275619265144
730	0	0	0.0108061925304879	0	0.983814782522343
731	0	0	0.00979808763358784	0	0.984902734856008
732	0	0	0.00878968325190841	0	0.986005018867924
