Wavelength	CoastalAerosol	Blue	Green	Red	NIR	Cirrus	SWIR1	SWIR2	Pan
857	0	0	0	0	0.98816001	0.98816001	0.98816001	0.98816001	0
858	0	0	0	0	0.98943096	0.98943096	0.98943096	0.98943096	0
859	0	0	0	0	0.99220061	0.99220061	0.99220061	0.99220061	0
860	0	0	0	0	0.99498791	0.99498791	0.99498791	0.99498791	0
861	0	0	0	0	0.99694198	0.99694198	0.99694198	0.99694198	0
862	0	0	0	0	0.99800861	0.99800861	0.99800861	0.99800861	0
863	0	0	0	0	0.99821723	0.99821723	0.99821723	0.99821723	0
864	0	0	0	0	0.99814546	0.99814546	0.99814546	0.99814546	0
865	0	0	0	0	0.99809587	0.99809587	0.99809587	0.99809587	0
866	0	0	0	0	0.99818242	0.99818242	0.99818242	0.99818242	0
867	0	0	0	0	0.99900395	0.99900395	0.99900395	0.99900395	0
868	0	0	0	0	0.99929279	0.99929279	0.99929279	0.99929279	0
869	0	0	0	0	0.99940193	0.99940193	0.99940193	0.99940193	0
870	0	0	0	0	0.99973387	0.99973387	0.99973387	0.99973387	0
871	0	0	0	0	0.9998185	0.9998185	0.9998185	0.9998185	0
872	0	0	0	0	1	1	1	1	0
873	0	0	0	0	0.9999913	0.9999913	0.9999913	0.9999913	0
874	0	0	0	0	0.99643683	0.99643683	0.99643683	0.99643683	0
875	0	0	0	0	0.97451699	0.97451699	0.97451699	0.97451699	0
876	0	0	0	0	0.9297142	0.9297142	0.9297142	0.9297142	0
877	0	0	0	0	0.83448619	0.83448619	0.83448619	0.83448619	0
878	0	0	0	0	0.68116772	0.68116772	0.68116772	0.68116772	0
879	0	0	0	0	0.49675167	0.49675167	0.49675167	0.49675167	0
880	0	0	0	0	0.31920305	0.31920305	0.31920305	0.31920305	0
881	0	0	0	0	0.19073001	0.19073001	0.19073001	0.19073001	0
882	0	0	0	0	0.11139899	0.11139899	0.11139899	0.11139899	0
883	0	0	0	0	0.06462797	0.06462797	0.06462797	0.06462797	0
884	0	0	0	0	0.03681539	0.03681539	0.03681539	0.03681539	0
885	0	0	0	0	0.02192838	0.02192838	0.02192838	0.02192838	0
886	0	0	0	0	0.01321336	0.01321336	0.01321336	0.01321336	0
887	0	0	0	0	0.00764328	0.00764328	0.00764328	0.00764328	0
888	0	0	0	0	0.00490463	0.00490463	0.00490463	0.00490463	0
889	0	0	0	0	0.00311586	0.00311586	0.00311586	0.00311586	0
890	0	0	0	0	0.00199918	0.00199918	0.00199918	0.00199918	0
891	0	0	0	0	0.00132245	0.00132245	0.00132245	0.00132245	0
892	0	0	0	0	0.00088339	0.00088339	0.00088339	0.00088339	0
893	0	0	0	0	0.00059439	0.00059439	0.00059439	0.00059439	0
894	0	0	0	0	0.00041175	0.00041175	0.00041175	0.00041175	0
895	0	0	0	0	0.00032689	0.00032689	0.00032689	0.00032689	0
896	0	0	0	0	0.00026968	0.00026968	0.00026968	0.00026968	0
897	0	0	0	0	0.00021248	0.00021248	0.00021248	0.00021248	0
898	0	0	0	0	0.00015527	0.00015527	0.00015527	0.00015527	0
899	0	0	0	0	0.00009807	0.00009807	0.00009807	0.00009807	0
900	0	0	0	0	0.00007605	0.00007605	0.00007605	0.00007605	0
901	0	0	0	0	0	0	0	0	0
902	0	0	0	0	0	0	0	0	0
903	0	0	0	0	0	0	0	0	0
904	0	0	0	0	0	0	0	0	0
905	0	0	0	0	0	0	0	0	0
906	0	0	0	0	0	0	0	0	0
907	0	0	0	0	0	0	0	0	0
908	0	0	0	0	0	0	0	0	0
909	0	0	0	0	0	0	0	0	0
910	0	0	0	0	0	0	0	0	0
911	0	0	0	0	0	0	0	0	0
912	0	0	0	0	0	0	0	0	0
913	0	0	0	0	0	0	0	0	0
914	0	0	0	0	0	0	0	0	0
915	0	0	0	0	0	0	0	0	0
916	0	0	0	0	0	0	0	0	0
917	0	0	0	0	0	0	0	0	0
918	0	0	0	0	0	0	0	0	0
919	0	0	0	0	0	0	0	0	0
920	0	0	0	0	0	0	0	0	0
921	0	0	0	0	0	0	0	0	0
922	0	0	0	0	0	0	0	0	0
923	0	0	0	0	0	0	0	0	0
924	0	0	0	0	0	0	0	0	0
925	0	0	0	0	0	0	0	0	0
926	0	0	0	0	0	0	0	0	0
927	0	0	0	0	0	0	0	0	0
928	0	0	0	0	0	0	0	0	0
929	0	0	0	0	0	0	0	0	0
930	0	0	0	0	0	0	0	0	0
931	0	0	0	0	0	0	0	0	0
932	0	0	0	0	0	0	0	0	0
933	0	0	0	0	0	0	0	0	0
